ProjectID,Year,Avg_Invoice_Amount,Total_Invoice_Count
Anadarko_2014,2011,126405.18,985129
Anadarko_2014,2013,88269.3,1158136
Anadarko_2014,2012,87770.75,1054107
Anadarko_2014,2014,83507.56,907977
ETP_2017,2016,83215.21,343188
ETP_2016,2015,81827.3,367371
Anadarko_2018,2017,80426.09,688051
NobleEnergy_2018,2017,54034.81,232092
MarathonOil_2013,2013,51347.04,201778
ETP_2016,2014,47833.97,32125
NobleEnergy_2018,2016,41923.81,200571
Tesoro_2014,2011,41036.58,527760
Williams_2017,2017,39697.54,131546
ETP_2017,2015,39443.34,25518
ChevronPhillips_2012,2011,35120.5,310052
Williams_2017,2016,35068.4,311746
Williams_2017,2015,34418.38,401964
ChevronPhillips_2012,2008,33016.7,284173
Tesoro_2014,2013,29139.75,2685165
Tesoro_2014,2012,28798.81,2181616
ChevronPhillips_2012,2010,27687.87,326677
NobleEnergy_2018,2015,25524.76,284139
Williams_2017,2018,24644.62,132
ChevronPhillips_2012,2009,22308.79,295963
MarathonOil_2013,2012,22304.35,503400
Williams_2017,2014,22182.46,223880
Sanchez_2018,2017,19071.33,155751
Williams_2017,2013,16252.88,45623
NobleEnergy_2018,2014,15279.51,38589
HESSCont_2012,2013,13899.97,81190
Chemours_2016,2016,13520.1,245020
Chemours_2016,2015,13049.67,215551
Sanchez_2018,2018,12058.78,75137
MarathonOil_2013,2011,11623.8,46917
Sanchez_2018,2016,10696.91,80852
HESSCont_2012,2012,10053.68,403
Sanchez_2018,2015,9812.72,103476
Williams_2017,2012,5888.72,1438
ChevronPhillips_2012,2007,4023.52,1638
Chemours_2016,2014,3942.38,1996
NobleEnergy_2018,2013,3854.66,229
ETP_2017,2014,3228.87,511
ETP_2016,2013,2591.85,494
Williams_2017,2011,1387.44,154
ChevronPhillips_2012,2006,1234.24,211
Sunoco_2017,2015,1061.5,1376522
Sunoco_2017,2016,916.05,3822407
Tesoro_2014,2010,-39642.6,618
